Entity,Code,Year,Public social expenditure as a share of GDP
Norway,NOR,1997,21.183
Norway,NOR,1998,22.634
Norway,NOR,1999,22.552
Norway,NOR,2000,20.411
Norway,NOR,2001,21.234
Norway,NOR,2002,22.71
Norway,NOR,2003,23.644
Norway,NOR,2004,22.283
Norway,NOR,2005,20.737
Norway,NOR,2006,19.479
Norway,NOR,2007,19.603
Norway,NOR,2008,19.28
Norway,NOR,2009,22.519
Norway,NOR,2010,22.119
Norway,NOR,2011,21.578
Norway,NOR,2012,21.469
Norway,NOR,2013,21.918
Norway,NOR,2014,22.839
Norway,NOR,2015,24.681
Norway,NOR,2016,25.934
Norway,NOR,2017,25.129
Norway,NOR,2018,24.21
Norway,NOR,2019,25.278
Norway,NOR,2020,28.159
Norway,NOR,2021,24.362
Norway,NOR,2022,20.676
OECD countries,,1980,14.36
OECD countries,,1981,14.664
OECD countries,,1982,15.119
OECD countries,,1983,15.388
OECD countries,,1984,15.158
OECD countries,,1985,15.887
OECD countries,,1986,15.723
OECD countries,,1987,15.863
OECD countries,,1988,15.773
OECD countries,,1989,15.657
OECD countries,,1990,16.364
OECD countries,,1991,17.175
OECD countries,,1992,17.975
OECD countries,,1993,18.473
OECD countries,,1994,18.269
OECD countries,,1995,17.993
OECD countries,,1996,17.98
OECD countries,,1997,17.646
OECD countries,,1998,17.705
OECD countries,,1999,17.624
OECD countries,,2000,17.333
OECD countries,,2001,17.54
OECD countries,,2002,17.985
OECD countries,,2003,18.31
OECD countries,,2004,18.109
OECD countries,,2005,18.114
OECD countries,,2006,17.757
OECD countries,,2007,17.662
OECD countries,,2008,18.409
OECD countries,,2009,20.593
OECD countries,,2010,20.405
OECD countries,,2011,20.052
OECD countries,,2012,20.146
OECD countries,,2013,20.212
OECD countries,,2014,20.165
OECD countries,,2015,20.073
OECD countries,,2016,20.053
OECD countries,,2017,19.771
OECD countries,,2018,19.682
OECD countries,,2019,20.101
OECD countries,,2020,22.961
OECD countries,,2021,21.978
OECD countries,,2022,21.094
Poland,POL,1990,14.194
Poland,POL,1991,20.485
Poland,POL,1992,24.042
Poland,POL,1993,23.536
Poland,POL,1994,22.462
Poland,POL,1995,21.808
Poland,POL,1996,21.988
Poland,POL,1997,21.48
Poland,POL,1998,20.777
Poland,POL,1999,21.114
Poland,POL,2000,20.182
Poland,POL,2001,21.71
Poland,POL,2002,21.815
Poland,POL,2003,21.965
Poland,POL,2004,21.251
Poland,POL,2005,20.898
Poland,POL,2006,20.636
Poland,POL,2007,19.529
Poland,POL,2008,20.222
Poland,POL,2009,21.311
Poland,POL,2010,20.727
Poland,POL,2011,19.578
Poland,POL,2012,19.856
Poland,POL,2013,20.606
Poland,POL,2014,20.288
Poland,POL,2015,20.219
Poland,POL,2016,21.185
Poland,POL,2017,20.786
Poland,POL,2018,20.509
Poland,POL,2019,21.186
Poland,POL,2020,23.226
Poland,POL,2021,22.568
Poland,POL,2022,22.706
Portugal,PRT,1980,9.515
Portugal,PRT,1981,10.157
Portugal,PRT,1982,9.614
Portugal,PRT,1983,9.728
Portugal,PRT,1984,9.664
Portugal,PRT,1985,9.83
Portugal,PRT,1986,10.424
Portugal,PRT,1987,10.695
Portugal,PRT,1988,10.852
Portugal,PRT,1989,10.495
Portugal,PRT,1990,12.225
Portugal,PRT,1991,13.104
Portugal,PRT,1992,13.758
Portugal,PRT,1993,15.12
Portugal,PRT,1994,15.238
Portugal,PRT,1995,16.019
Portugal,PRT,1996,16.597
Portugal,PRT,1997,16.443
Portugal,PRT,1998,16.836
Portugal,PRT,1999,17.243
Portugal,PRT,2000,18.576
Portugal,PRT,2001,19.061
Portugal,PRT,2002,20.408
Portugal,PRT,2003,21.461
Portugal,PRT,2004,21.798
Portugal,PRT,2005,22.424
Portugal,PRT,2006,21.643
Portugal,PRT,2007,21.307
Portugal,PRT,2008,21.768
Portugal,PRT,2009,24.11
Portugal,PRT,2010,24.336
Portugal,PRT,2011,24.229
Portugal,PRT,2012,24.332
Portugal,PRT,2013,25.413
Portugal,PRT,2014,24.977
Portugal,PRT,2015,23.922
Portugal,PRT,2016,23.459
Portugal,PRT,2017,22.728
Portugal,PRT,2018,22.457
Portugal,PRT,2019,22.341
Portugal,PRT,2020,25.113
Portugal,PRT,2021,24.798
Portugal,PRT,2022,24.639
Slovakia,SVK,1995,18.327
Slovakia,SVK,1996,17.938
Slovakia,SVK,1997,17.582
Slovakia,SVK,1998,17.706
Slovakia,SVK,1999,18.184
Slovakia,SVK,2000,17.517
Slovakia,SVK,2001,17.231
Slovakia,SVK,2002,17.389
Slovakia,SVK,2003,16.619
Slovakia,SVK,2004,15.899
Slovakia,SVK,2005,15.377
Slovakia,SVK,2006,15.06
Slovakia,SVK,2007,14.858
Slovakia,SVK,2008,14.935
Slovakia,SVK,2009,17.77
Slovakia,SVK,2010,17.372
Slovakia,SVK,2011,17.126
Slovakia,SVK,2012,17.325
Slovakia,SVK,2013,17.66
Slovakia,SVK,2014,17.746
Slovakia,SVK,2015,17.249
Slovakia,SVK,2016,17.625
Slovakia,SVK,2017,17.518
Slovakia,SVK,2018,17.177
Slovakia,SVK,2019,17.452
Slovakia,SVK,2020,19.769
Slovakia,SVK,2021,19.631
Slovakia,SVK,2022,19.057
Slovenia,SVN,1995,5.681
Slovenia,SVN,1996,21.925
Slovenia,SVN,1997,22.267
Slovenia,SVN,1998,22.342
Slovenia,SVN,1999,22.316
Slovenia,SVN,2000,22.095
Slovenia,SVN,2001,21.95
Slovenia,SVN,2002,22.32
Slovenia,SVN,2003,21.935
Slovenia,SVN,2004,21.551
Slovenia,SVN,2005,21.524
Slovenia,SVN,2006,21.126
Slovenia,SVN,2007,19.763
Slovenia,SVN,2008,19.88
Slovenia,SVN,2009,22.428
Slovenia,SVN,2010,23.355
Slovenia,SVN,2011,23.441
Slovenia,SVN,2012,23.473
Slovenia,SVN,2013,23.802
Slovenia,SVN,2014,23.089
Slovenia,SVN,2015,22.65
Slovenia,SVN,2016,22.246
Slovenia,SVN,2017,21.485
Slovenia,SVN,2018,21.325
Slovenia,SVN,2019,21.472
Slovenia,SVN,2020,24.467
Slovenia,SVN,2021,23.657
Slovenia,SVN,2022,22.839
South Korea,KOR,1990,2.643
South Korea,KOR,1991,2.546
South Korea,KOR,1992,2.766
South Korea,KOR,1993,2.839
South Korea,KOR,1994,2.834
South Korea,KOR,1995,3.013
South Korea,KOR,1996,3.162
South Korea,KOR,1997,3.402
South Korea,KOR,1998,4.717
South Korea,KOR,1999,5.622
South Korea,KOR,2000,4.412
South Korea,KOR,2001,4.788
South Korea,KOR,2002,4.654
South Korea,KOR,2003,4.945
South Korea,KOR,2004,5.536
South Korea,KOR,2005,5.88
South Korea,KOR,2006,6.699
South Korea,KOR,2007,6.782
South Korea,KOR,2008,7.264
South Korea,KOR,2009,8.069
South Korea,KOR,2010,7.86
South Korea,KOR,2011,7.814
South Korea,KOR,2012,8.329
South Korea,KOR,2013,8.825
South Korea,KOR,2014,9.19
South Korea,KOR,2015,9.636
South Korea,KOR,2016,9.87
South Korea,KOR,2017,10.107
South Korea,KOR,2018,10.895
South Korea,KOR,2019,12.259
South Korea,KOR,2020,14.393
South Korea,KOR,2021,14.922
South Korea,KOR,2022,14.843
Spain,ESP,1980,14.942
Spain,ESP,1981,16.042
Spain,ESP,1982,16.054
Spain,ESP,1983,16.782
Spain,ESP,1984,16.56
Spain,ESP,1985,17.086
Spain,ESP,1986,16.836
Spain,ESP,1987,16.718
Spain,ESP,1988,17.199
Spain,ESP,1989,17.313
Spain,ESP,1990,19.144
Spain,ESP,1991,19.876
Spain,ESP,1992,21.011
Spain,ESP,1993,22.256
Spain,ESP,1994,21.265
Spain,ESP,1995,20.631
Spain,ESP,1996,20.533
Spain,ESP,1997,19.964
Spain,ESP,1998,19.863
Spain,ESP,1999,19.737
Spain,ESP,2000,19.464
Spain,ESP,2001,19.091
Spain,ESP,2002,19.35
Spain,ESP,2003,19.989
Spain,ESP,2004,20.213
Spain,ESP,2005,20.475
Spain,ESP,2006,20.516
Spain,ESP,2007,20.897
Spain,ESP,2008,22.326
Spain,ESP,2009,25.613
Spain,ESP,2010,24.902
Spain,ESP,2011,25.541
Spain,ESP,2012,25.55
Spain,ESP,2013,25.705
Spain,ESP,2014,25.373
Spain,ESP,2015,24.707
Spain,ESP,2016,24.245
Spain,ESP,2017,23.927
Spain,ESP,2018,24.034
Spain,ESP,2019,24.647
Spain,ESP,2020,31.184
Spain,ESP,2021,29.538
Spain,ESP,2022,28.086
Sweden,SWE,1880,0.72
Sweden,SWE,1890,0.85
Sweden,SWE,1900,0.85
Sweden,SWE,1910,1.03
Sweden,SWE,1920,1.14
Sweden,SWE,1930,2.59
Sweden,SWE,1960,10.224313
Sweden,SWE,1961,10.171698
Sweden,SWE,1962,10.491171
Sweden,SWE,1963,11.7051935
Sweden,SWE,1964,11.80476
Sweden,SWE,1965,12.444718
Sweden,SWE,1966,13.26691
Sweden,SWE,1967,14.3737335
Sweden,SWE,1968,15.423788
Sweden,SWE,1969,15.587025
Sweden,SWE,1970,15.826911
Sweden,SWE,1971,17.34218
Sweden,SWE,1972,17.35731
Sweden,SWE,1973,17.379168
Sweden,SWE,1974,19.88066
Sweden,SWE,1975,19.979963
Sweden,SWE,1976,20.905005
Sweden,SWE,1977,23.129807
Sweden,SWE,1978,23.793518
Sweden,SWE,1979,23.74045
Sweden,SWE,1980,24.494
Sweden,SWE,1981,25.192
Sweden,SWE,1982,25.126
Sweden,SWE,1983,25.422
Sweden,SWE,1984,24.652
Sweden,SWE,1985,26.587
Sweden,SWE,1986,26.709
Sweden,SWE,1987,26.929
Sweden,SWE,1988,27.376
Sweden,SWE,1989,26.804
Sweden,SWE,1990,26.853
Sweden,SWE,1991,28.66
Sweden,SWE,1992,32.205
Sweden,SWE,1993,33.696
Sweden,SWE,1994,32.517
Sweden,SWE,1995,30.189
Sweden,SWE,1996,29.717
Sweden,SWE,1997,28.472
Sweden,SWE,1998,28.172
Sweden,SWE,1999,27.65
Sweden,SWE,2000,26.427
Sweden,SWE,2001,26.547
Sweden,SWE,2002,27.209
Sweden,SWE,2003,27.922
Sweden,SWE,2004,27.426
Sweden,SWE,2005,27.103
Sweden,SWE,2006,26.408
Sweden,SWE,2007,25.328
Sweden,SWE,2008,25.366
Sweden,SWE,2009,27.21
Sweden,SWE,2010,25.849
Sweden,SWE,2011,25.276
Sweden,SWE,2012,26.276
Sweden,SWE,2013,26.948
Sweden,SWE,2014,26.587
Sweden,SWE,2015,26.107
Sweden,SWE,2016,26.527
Sweden,SWE,2017,25.859
Sweden,SWE,2018,25.633
Sweden,SWE,2019,25.072
Sweden,SWE,2020,25.855
Sweden,SWE,2021,24.9
Sweden,SWE,2022,23.671
Switzerland,CHE,1930,1.17
Switzerland,CHE,1980,12.358
Switzerland,CHE,1981,12.085
Switzerland,CHE,1982,12.779
Switzerland,CHE,1983,13.136
Switzerland,CHE,1984,13.277
Switzerland,CHE,1985,12.96
Switzerland,CHE,1986,13.073
Switzerland,CHE,1987,13.185
Switzerland,CHE,1988,13.23
Switzerland,CHE,1989,12.946
Switzerland,CHE,1990,12.599
Switzerland,CHE,1991,13.402
Switzerland,CHE,1992,14.793
Switzerland,CHE,1993,16.109
Switzerland,CHE,1994,16.059
Switzerland,CHE,1995,14.383
Switzerland,CHE,1996,14.642
Switzerland,CHE,1997,15.091
Switzerland,CHE,1998,15.068
Switzerland,CHE,1999,14.876
Switzerland,CHE,2000,14.078
Switzerland,CHE,2001,14.353
Switzerland,CHE,2002,15.345
Switzerland,CHE,2003,15.949
Switzerland,CHE,2004,15.84
Switzerland,CHE,2005,15.679
Switzerland,CHE,2006,14.941
Switzerland,CHE,2007,14.368
Switzerland,CHE,2008,14.049
Switzerland,CHE,2009,15.557
Switzerland,CHE,2010,15.204
Switzerland,CHE,2011,15.162
Switzerland,CHE,2012,15.378
Switzerland,CHE,2013,15.67
Switzerland,CHE,2014,15.579
Switzerland,CHE,2015,16.08
Switzerland,CHE,2016,16.237
Switzerland,CHE,2017,16.435
Switzerland,CHE,2018,15.969
Switzerland,CHE,2019,16.145
Switzerland,CHE,2020,19.315
Switzerland,CHE,2021,18.03
Switzerland,CHE,2022,17.038
Turkey,TUR,1980,2.245
Turkey,TUR,1981,1.647
Turkey,TUR,1982,1.784
Turkey,TUR,1983,1.844
Turkey,TUR,1984,2.219
Turkey,TUR,1985,1.949
Turkey,TUR,1986,2.094
Turkey,TUR,1987,2.186
Turkey,TUR,1988,2.553
Turkey,TUR,1989,3.084
Turkey,TUR,1990,3.792
Turkey,TUR,1991,4.054
Turkey,TUR,1992,4.163
Turkey,TUR,1993,3.97
Turkey,TUR,1994,3.638
Turkey,TUR,1995,3.363
Turkey,TUR,1996,4.574
Turkey,TUR,1997,4.83
Turkey,TUR,1998,5.002
Turkey,TUR,1999,5.695
Turkey,TUR,2000,7.513
Turkey,TUR,2001,8.167
Turkey,TUR,2002,8.734
Turkey,TUR,2003,9.674
Turkey,TUR,2004,9.953
Turkey,TUR,2005,9.921
Turkey,TUR,2006,10.206
Turkey,TUR,2007,10.77
Turkey,TUR,2008,10.978
Turkey,TUR,2009,12.883
Turkey,TUR,2010,12.212
Turkey,TUR,2011,11.73
Turkey,TUR,2012,11.879
Turkey,TUR,2013,11.684
Turkey,TUR,2014,11.61
Turkey,TUR,2015,11.488
Turkey,TUR,2016,12.534
Turkey,TUR,2017,11.999
Turkey,TUR,2018,11.767
Turkey,TUR,2019,12.429
United Kingdom,GBR,1880,0.86
United Kingdom,GBR,1890,0.83
United Kingdom,GBR,1900,1.0
United Kingdom,GBR,1910,1.38
United Kingdom,GBR,1920,1.39
United Kingdom,GBR,1930,2.24
United Kingdom,GBR,1960,9.695268
United Kingdom,GBR,1961,9.937714
United Kingdom,GBR,1962,10.126616
United Kingdom,GBR,1963,10.619389
United Kingdom,GBR,1964,10.441891
United Kingdom,GBR,1965,11.067408
United Kingdom,GBR,1966,11.281802
United Kingdom,GBR,1967,11.917085
United Kingdom,GBR,1968,12.380001
United Kingdom,GBR,1969,12.374165
United Kingdom,GBR,1970,12.529809
United Kingdom,GBR,1971,12.405704
United Kingdom,GBR,1972,13.178441
United Kingdom,GBR,1973,12.79034
United Kingdom,GBR,1974,14.160776
United Kingdom,GBR,1975,14.835801
United Kingdom,GBR,1976,15.372347
United Kingdom,GBR,1977,15.317716
United Kingdom,GBR,1978,15.626504
United Kingdom,GBR,1979,15.545771
United Kingdom,GBR,1980,15.587
United Kingdom,GBR,1981,16.879
United Kingdom,GBR,1982,17.324
United Kingdom,GBR,1983,18.123
United Kingdom,GBR,1984,18.056
United Kingdom,GBR,1985,18.181
United Kingdom,GBR,1986,18.193
United Kingdom,GBR,1987,17.389
United Kingdom,GBR,1988,16.133
United Kingdom,GBR,1989,15.458
United Kingdom,GBR,1990,14.903
United Kingdom,GBR,1991,16.385
United Kingdom,GBR,1992,17.821
United Kingdom,GBR,1993,18.423
United Kingdom,GBR,1994,17.719
United Kingdom,GBR,1995,16.575
United Kingdom,GBR,1996,16.393
United Kingdom,GBR,1997,16.528
United Kingdom,GBR,1998,16.925
United Kingdom,GBR,1999,16.735
United Kingdom,GBR,2000,16.807
United Kingdom,GBR,2001,17.606
United Kingdom,GBR,2002,17.864
United Kingdom,GBR,2003,18.619
United Kingdom,GBR,2004,19.188
United Kingdom,GBR,2005,19.141
United Kingdom,GBR,2006,19.063
United Kingdom,GBR,2007,19.571
United Kingdom,GBR,2008,20.828
United Kingdom,GBR,2009,22.924
United Kingdom,GBR,2010,23.069
United Kingdom,GBR,2011,22.851
United Kingdom,GBR,2012,22.951
United Kingdom,GBR,2013,22.224
United Kingdom,GBR,2014,21.685
United Kingdom,GBR,2015,21.279
United Kingdom,GBR,2016,20.616
United Kingdom,GBR,2017,20.212
United Kingdom,GBR,2018,19.724
United Kingdom,GBR,2019,19.513
United Kingdom,GBR,2020,22.488
United Kingdom,GBR,2021,22.1
United States,USA,1880,0.29
United States,USA,1890,0.45
United States,USA,1900,0.55
United States,USA,1910,0.56
United States,USA,1920,0.7
United States,USA,1930,0.56
United States,USA,1960,6.2148666
United States,USA,1961,6.785977
United States,USA,1962,6.833349
United States,USA,1963,6.8057847
United States,USA,1964,6.717871
United States,USA,1965,6.7227244
United States,USA,1966,6.835506
United States,USA,1967,7.513561
United States,USA,1968,7.8853393
United States,USA,1969,7.979135
United States,USA,1970,8.879691
United States,USA,1971,9.5997715
United States,USA,1972,9.746132
United States,USA,1973,9.940621
United States,USA,1974,10.912134
United States,USA,1975,12.406018
United States,USA,1976,12.254199
United States,USA,1977,12.023055
United States,USA,1978,11.657559
United States,USA,1979,11.810509
United States,USA,1980,12.86
United States,USA,1981,13.2
United States,USA,1982,13.619
United States,USA,1983,13.783
United States,USA,1984,12.894
United States,USA,1985,12.587
United States,USA,1986,12.924
United States,USA,1987,12.883
United States,USA,1988,12.845
United States,USA,1989,12.833
United States,USA,1990,13.197
United States,USA,1991,14.166
United States,USA,1992,14.847
United States,USA,1993,15.114
United States,USA,1994,15.06
United States,USA,1995,14.94
United States,USA,1996,15.215
United States,USA,1997,14.333
United States,USA,1998,14.395
United States,USA,1999,14.119
United States,USA,2000,14.123
United States,USA,2001,14.698
United States,USA,2002,15.536
United States,USA,2003,15.801
United States,USA,2004,15.663
United States,USA,2005,15.492
United States,USA,2006,15.541
United States,USA,2007,15.673
United States,USA,2008,16.245
United States,USA,2009,18.309
United States,USA,2010,19.033
United States,USA,2011,18.726
United States,USA,2012,18.46
United States,USA,2013,18.428
United States,USA,2014,18.439
United States,USA,2015,18.537
United States,USA,2016,18.658
United States,USA,2017,18.474
United States,USA,2018,18.235
United States,USA,2019,18.262
United States,USA,2020,23.942
United States,USA,2021,22.7
